2020-09-13 15:50:21:802 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:15:56:359 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:16:39:960 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:17:15:604 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:18:55:459 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:19:13:522 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:19:52:822 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 16:20:08:413 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:11:40:123 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:15:09:884 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:18:08:887 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:18:37:829 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:19:49:426 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:20:33:866 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 17:20:48:781 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
2020-09-13 21:10:23:277 DEBUG : Running with Spring Boot v2.4.0-SNAPSHOT, Spring v5.3.0-SNAPSHOT
